iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,OR,lci,uci,model
(Intercept),Conditional,0,0.004269222850717483,-0.9978360535846572,953,0.004269222850717483,0,Inf,Inf,950.9101708217811,-1.1258987092552217,-0.8697733979140927,0.06533929025263041,"0.37 	 (0.32, 0.42)",0.32436083024931783,0.419046495299673,M0
control_joint,Conditional,0,0.012665958037151327,-0.10302897030066883,953,0.012665958037151327,0,Inf,Inf,950.9101708217811,-0.32360946858725037,0.11755152798591269,0.11254313856095949,"0.90 	 (0.72, 1.12)",0.7235327494791283,1.1247395840160324,M0
(Intercept),Conditional,0.06766359324078974,0.6383628361525907,-2.9781717361979805,929,0.7127927887174594,0.10442018177371272,31.058416289690253,825.41739997211,413.90294844449267,-4.63534159603276,-1.3210018763632012,0.844270566061295,"0.05 	 (0.01, 0.27)",0.009702792036919651,0.2668677994456358,M1
age,Conditional,8.510952946578865e-6,5.960410574904031e-5,0.016930014655329277,929,6.896615399027706e-5,0.13574844615166776,24.107805868081225,488.3967611177556,303.42611529512783,6.128885523550807e-4,0.03324714075830347,0.008304586322645883,"1.02 	 (1.00, 1.03)",1.0006130764069199,1.0338060032718053,M1
balance_impairment,Conditional,0.0028419616746911164,0.010804544442386243,-0.1571300041604865,929,0.013930702284546471,0.2244077705707716,16.296174900881113,178.71735450920525,143.137513946714,-0.39003858653311857,0.07577857821214551,0.11802839609410301,"0.85 	 (0.68, 1.08)",0.6770307497246891,1.0787236947826109,M1
bmi,Conditional,4.435494257024352e-6,7.846853425741874e-5,0.01919722488985249,929,8.334757794014553e-5,0.05853851789467211,61.22797718417868,2626.3890817406404,655.0648572216526,0.001295504438858154,0.037098945340846824,0.00912948946766168,"1.02 	 (1.00, 1.04)",1.0012963439672322,1.037795700807567,M1
control_joint,Conditional,0.0010788308191570656,0.011658652099710967,-0.03185142669751667,929,0.01284536600078374,0.09238459231137257,35.37031463819895,1054.492308134756,467.9746245666528,-0.2542439076597891,0.1905410542647557,0.1133373989501424,"0.97 	 (0.78, 1.21)",0.7755026279457652,1.209904044338837,M1
fall_any,Conditional,2.1481584670992516e-4,0.009812288076583638,0.6119040180795888,929,0.010048585507964555,0.023515491926065342,238.9357678355586,16275.50125371614,857.5143704256509,0.4154174551684321,0.8083905809907455,0.10024263318550922,"1.84 	 (1.52, 2.24)",1.5150030545568351,2.2442930705692974,M1
female,Conditional,5.644584428588154e-4,0.011367535406525993,-0.007559696982938573,929,0.01198843969367069,0.05179191813197376,72.12101957124727,3355.2008126411583,696.5206284258699,-0.22223699397064797,0.20711760000477084,0.10949173344901747,"0.99 	 (0.80, 1.23)",0.8007255747126989,1.2301272262425782,M1
heavydrinker,Conditional,0.011192912799910693,0.023054203311310747,-0.11029279056657953,929,0.03536640739121251,0.34813273352048124,12.685993837293728,74.25963138324836,66.13269122635923,-0.4849879254329489,0.2644023442997897,0.1880595846831863,"0.90 	 (0.62, 1.30)",0.6157046310862536,1.302652205567273,M1
hh_size,Conditional,7.171051140586059e-5,0.011099736752305463,0.1472740566131333,929,0.01117861831485191,0.007056468011046108,2044.3226986237808,180745.60892684947,915.80123732331,-0.05995233422598539,0.35450044745225195,0.10572898521622115,"1.16 	 (0.94, 1.43)",0.9418094245895553,1.4254683800261068,M1
hh_wealthquintileHigh,Conditional,7.840732708340521e-4,0.023083019010851785,-0.1716124947887342,929,0.023945499608769242,0.03601848414144604,121.64009373594774,6937.3187055527915,791.6431189957395,-0.4749567822769132,0.13173179269944474,0.15474333461822917,"0.84 	 (0.62, 1.14)",0.6219119335019602,1.1408023067245168,M1
hh_wealthquintileHighest,Conditional,5.601283864996824e-4,0.024145112838347332,-0.08670534650318508,929,0.024761254063496982,0.02488328028821309,217.74804320145304,14535.408659942195,851.0158318903583,-0.39514526120400173,0.22173456819763154,0.1573570909221983,"0.92 	 (0.67, 1.25)",0.67358218678251,1.24824001129263,M1
