iv,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
Contrast 1,0.0010757233612263433,0.022641697104587542,-0.0476213209098235,928,0.02382499280193652,0.04966615130531323,76.39338831949676,3648.560019974982,709.0063256238403,-0.35024894969809134,0.25500630787844425,0.15435346708751482,"0.95 	 (0.70, 1.29)",0.704512679666575,1.2904697609736047,M2
Contrast 2,0.001416971148647219,0.022779442066768667,-0.026158041421925998,928,0.024338110330280608,0.06404228768626714,54.52943428703832,2194.364835359196,621.3068410387964,-0.33209442605369466,0.2797783432098425,0.15600676373247607,"0.97 	 (0.72, 1.32)",0.7174195765565283,1.3228365641317013,M2
Contrast 3,2.3060151277677258e-4,0.044109388772104643,0.021463279487897505,928,0.044363050436159096,0.005717858929008571,3043.41902960878,275280.6194940507,917.6424963356325,-0.3913566934169477,0.4342832523927426,0.21062537937332979,"1.02 	 (0.68, 1.54)",0.6761389387131496,1.5438561071254595,M2
Contrast 1,1.2871131036326175e-4,0.02179857410527282,0.20447435640922387,928,0.021940156546672408,0.0064531190148258664,2419.5722056269615,216124.0810562328,916.1308855453431,-0.08584125101943882,0.49478996383788654,0.14812210012915833,"1.23 	 (0.92, 1.64)",0.9177399099317936,1.6401537112858706,M3
Contrast 2,0.003101649620040085,0.021701890893711526,-0.23112199895146163,928,0.02511370547575562,0.13585468641168094,24.090837765240074,487.6331936336178,302.99331151712516,-0.5424962915131002,0.080252293610177,0.15847304337254212,"0.79 	 (0.58, 1.08)",0.581295357036937,1.0835604085597497,M3
Contrast 3,0.0031927866879627484,0.04170899826616143,-0.43559635536068553,928,0.04522106362292046,0.07766436866776659,43.07001879666233,1492.1032522917508,543.1731886068146,-0.8527258570846996,-0.018466853636671443,0.2126524479589183,"0.65 	 (0.43, 0.98)",0.4262514463964558,0.9817026139240299,M3
Contrast 1,0.009803290042748332,0.023431990731568448,-0.03411062632033733,928,0.034215609778591616,0.31516664811189116,13.336208322819187,90.60705268146292,79.27977605903507,-0.40156145308568325,0.33334020044500845,0.1849746192821913,"0.97 	 (0.67, 1.40)",0.669274189471836,1.3956220089453744,M4
Contrast 2,0.002305186341065268,0.02197167869355103,-0.03409402800851151,928,0.024507383668722824,0.10346697997012018,31.354128745289596,840.6959661318708,417.7063325287543,-0.3413655150583589,0.27317745904133584,0.1565483429127336,"0.97 	 (0.71, 1.31)",0.7107990529614757,1.3141334289923041,M4
Contrast 3,0.01795755919458866,0.04405161680591334,1.6598311825822243e-5,928,0.06380493191996087,0.3095891574467437,13.461753142471071,93.9011746226672,81.87564658328802,-0.5015263198369048,0.5015595164605564,0.25259638144668833,"1.00 	 (0.61, 1.65)",0.6056056060784669,1.6512944846238655,M4
Contrast 1,8.183657025482519e-4,0.02549526678007077,-0.018921195943590853,928,0.02639546905287385,0.03410442417218823,132.16980402068114,7737.863549718229,801.7505703856255,-0.3374001372605767,0.29955774537339486,0.16246682446848604,"0.98 	 (0.71, 1.35)",0.7136232355195083,1.349261958262502,M5
Contrast 2,0.001816274167680598,0.017176602439888566,-0.04547467306863597,928,0.019174504024337225,0.10419573731413459,31.12743335110767,828.9772364593967,414.62439472859467,-0.31727170394684423,0.2263223578095723,0.13847203336535946,"0.96 	 (0.73, 1.25)",0.7281328916662847,1.2539798303231586,M5
Contrast 3,8.940864936154979e-4,0.0391728768522829,-0.02655347712504512,928,0.04015637199525995,0.024491633434742047,223.47502059059207,15003.998357962713,852.0299299135875,-0.41934342147155906,0.36623646722146874,0.20039054866749567,"0.97 	 (0.66, 1.44)",0.6574783643050478,1.44229625812213,M5
Contrast 1,0.0010082941465631612,0.013765141895544633,-0.039814023359828456,928,0.01487426545676411,0.07456661066345974,45.202069580939984,1618.6528006956946,560.3129163878617,-0.2790302968045474,0.19940225008489043,0.12196009780565162,"0.96 	 (0.76, 1.22)",0.7565169828206765,1.2206728829283262,M6
Contrast 2,0.002371319019406293,0.059145310193835836,0.014632535540015455,928,0.061753761115182756,0.042239547425810306,96.08604247387386,5044.335882248356,754.2759671776389,-0.4725413684116432,0.501806439491674,0.24850304045460442,"1.01 	 (0.62, 1.65)",0.6234159238574787,1.6517022776079444,M6
Contrast 3,8.9293636670593e-4,0.07053905858878981,0.054446558899843914,928,0.07152128859216633,0.013733393549121623,602.4356422494062,47718.4994416401,896.1379578616124,-0.4697290062974074,0.5786221240970951,0.2674346435901047,"1.06 	 (0.63, 1.78)",0.6251716629129138,1.7835791860907402,M6
Contrast 1,1.1033817384744395e-4,0.026791358416793445,0.1361414975461071,928,0.026912730408025633,0.004509835657403013,4791.58436095613,442507.94974741916,919.9139477478889,-0.18539343240353712,0.4576764274957513,0.16405099941184642,"1.15 	 (0.83, 1.58)",0.8307773648106288,1.580397547127311,A3
Contrast 2,0.0010636374351692074,0.019437576809945234,-0.12187997062970268,928,0.020607577988631363,0.05677528816494524,63.74408087653716,2792.0540099191776,665.3059528274811,-0.40336148222987567,0.15960154097047025,0.14355339769100334,"0.89 	 (0.67, 1.17)",0.6680705600343545,1.1730433681355648,A3
Contrast 3,9.566845481274827e-4,0.042051353360764224,-0.2580214681758098,928,0.043103706363704454,0.024414443483365196,224.63439607240207,15099.023153435763,852.3981772418115,-0.6649706821178312,0.1489277457662116,0.20761432119125225,"0.77 	 (0.51, 1.16)",0.5142886053383409,1.1605891287012462,A3
Contrast 1,1.7043328790899558e-4,0.022071793590203958,0.17182627080073493,928,0.022259270206903853,0.008422406258483178,1468.3667939166344,126873.27119188903,911.6097401681999,-0.12059414809487756,0.46424668969634736,0.14919540946994264,"1.19 	 (0.89, 1.59)",0.8863936311451349,1.5908153597968966,B3
Contrast 2,0.001104189083243499,0.018362392601134786,-0.1875981934546062,928,0.019577000592702634,0.06204259870230563,56.78206326118378,2338.0971303654305,633.297653105169,-0.46197414631203476,0.08677775940282229,0.13991783514871375,"0.83 	 (0.63, 1.09)",0.6300386285534597,1.0906542651268976,B3
Contrast 3,0.0010599264122667358,0.03574407381741042,-0.35942446425534114,928,0.03690999287090383,0.03158816794062575,148.77234537264357,9019.731981987934,815.6612992994292,-0.7360227629736613,0.017173834462978987,0.1921197357662763,"0.70 	 (0.48, 1.02)",0.4790152892522359,1.0173221526052718,B3
Contrast 1,1.9033214366714118e-4,0.03913476968704678,0.2217960326565797,928,0.039344135045080636,0.0053213867274998885,3490.007122018482,317828.5197981057,918.4171992647546,-0.16697128305009312,0.6105633483632524,0.1983535607068364,"1.25 	 (0.85, 1.84)",0.8462239119579564,1.8414684948935902,C3
Contrast 2,4.152588133918133e-4,0.022985412152151736,0.04010741338739878,928,0.02344219684688273,0.01948557542258402,327.4653660644951,23703.694367423795,874.4665073535791,-0.25999495430622294,0.34020978108102046,0.15310844799318793,"1.04 	 (0.77, 1.41)",0.7710554763035697,1.4052423529046196,C3
Contrast 3,5.971000656107063e-4,0.06421276007385546,-0.18168861926918092,928,0.06486957014602723,0.010125087474654732,1045.1884004385995,87789.97827421887,907.1587449918331,-0.6808886331576133,0.3175113946192514,0.254695053242161,"0.83 	 (0.51, 1.37)",0.506166995678564,1.3737048976204442,C3
Contrast 1,9.595007668668086e-4,0.026894639947593755,0.16028965648264043,928,0.027950090791147245,0.0377619826511543,113.30534012544892,6311.505030312727,780.8067433583552,-0.16744547304685914,0.48802478601214,0.16718280650577452,"1.17 	 (0.85, 1.63)",0.8458227361681723,1.6290952282462685,L3
Contrast 2,4.1211145518890865e-4,0.017394886281673794,-0.1473593520730674,928,0.017848208882381592,0.025398772711321498,210.58637028872988,13951.376085272797,847.6539541026905,-0.40922774936042894,0.11450904521429409,0.13359718890149444,"0.86 	 (0.66, 1.12)",0.6641629524082873,1.1213227836229624,L3
Contrast 3,0.0010262821925570707,0.044883244642255016,-0.30764900855570787,928,0.04601215505406779,0.024535047543115987,222.82746505169095,14950.946990910403,851.8225290006469,-0.7281040249254854,0.11280600781406963,0.21450444063950702,"0.74 	 (0.48, 1.12)",0.48282354423556595,1.11941475416865,L3
Contrast 1,0.0013905377428322706,0.023431894675931382,0.23374052970616446,928,0.02496148619304688,0.06127806274377892,57.694903480471424,2396.8036395203353,637.908586867764,-0.07607464035477976,0.5435556997671086,0.15799204471443137,"1.26 	 (0.93, 1.72)",0.9267470312505759,1.7221193279917177,J3
Contrast 2,0.002029920526692893,0.02532631460892566,-0.33715889163370855,928,0.027559227188287842,0.08102232200150841,40.994353661016305,1370.986374785583,525.0670604199051,-0.6628194667851545,-0.011498316482262627,0.16600972016206714,"0.71 	 (0.52, 0.99)",0.5153961417190728,0.9885675365174944,J3
Contrast 3,0.002809126369057799,0.04679197624373855,-0.570899421339873,928,0.04988201524970213,0.06194695604207834,56.89463091465731,2345.3224881088972,633.8737147385988,-1.0088693285351535,-0.13292951414459242,0.22334282000929004,"0.57 	 (0.36, 0.88)",0.3646310244784925,0.8755268021894863,J3
