iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,OR,lci,uci,model
(Intercept),Conditional,9.350434734436352e-6,0.004408434813416458,-0.9757823358033252,953,0.004418720291624338,0.0023277052017472255,17313.901659367373,1661064.7239653051,948.250977250269,-1.1060680095275386,-0.8454966620791117,0.06647345554147413,"0.38 	 (0.33, 0.43)",0.330857334693803,0.429344066331491,M0
control_joint,Conditional,1.5102608653053377e-5,0.012826907580620052,-0.09364178189368055,953,0.012843520450138412,0.001293482544980857,55052.17773770046,5379245.491107581,949.6085003281501,-0.3157630936236089,0.12847952983624777,0.1133292568145508,"0.91 	 (0.73, 1.14)",0.7292321894608488,1.1370981444677564,M0
(Intercept),Conditional,0.06873640525046433,0.6479545444667052,-3.011296387337069,929,0.723564590242216,0.10449660858915169,31.034999996601744,824.2104525904332,413.5816568092045,-4.680944549271102,-1.3416482254030362,0.8506259990396579,"0.05 	 (0.01, 0.26)",0.009270253539202578,0.26141444337349096,M1
age,Conditional,6.56634717180143e-6,5.801587343495698e-5,0.0173543579054431,929,6.523885532393856e-5,0.11071595068792067,29.264168907477004,734.2130886448253,388.3424332191101,0.0014974767807365043,0.03321123903014969,0.00807705734311318,"1.02 	 (1.00, 1.03)",1.0014985985589666,1.0337688885159582,M1
balance_impairment,Conditional,0.0061162965124755804,0.010560279183261686,-0.09451715835650246,929,0.017288205346984824,0.38916278634419005,12.04704706147269,59.42646556359392,53.78216721242527,-0.35757777602586416,0.16854345931285916,0.13148462019181112,"0.91 	 (0.70, 1.18)",0.6993683027401938,1.183579663286035,M1
bmi,Conditional,6.309158664217725e-6,7.987459052140374e-5,0.016426703059799225,929,8.681466505204323e-5,0.0799412694442707,41.638047313884734,1408.3170220216014,531.19797777789,-0.0018508495755910764,0.03470425569518952,0.009317438760305496,"1.02 	 (1.00, 1.04)",0.9981508621902481,1.0353134754544122,M1
control_joint,Conditional,4.295573685163589e-4,0.011077074001458112,-0.021050277600962227,929,0.011549587106826107,0.040911688097380314,100.6584361486083,5377.095006727172,762.9331162904675,-0.2317330812616843,0.18963252605975983,0.10746900533096092,"0.98 	 (0.79, 1.21)",0.7931578037349487,1.2088053115796438,M1
fall_any,Conditional,1.4375384094492905e-4,0.009652001212077169,0.6277764917368447,929,0.009810130437116591,0.016118972734668304,454.18463052063134,34639.19479572603,888.6651329405298,0.433642914440371,0.8219100690333183,0.09904610258418345,"1.87 	 (1.54, 2.27)",1.542867833915257,2.2748407934051422,M1
female,Conditional,1.310797840137607e-4,0.011538450735673169,-0.00819693037190846,929,0.011682638498088305,0.01234205461709108,729.3853944977153,59083.6860140182,901.5941031702222,-0.22004643706028673,0.20365257631646977,0.10808625489898475,"0.99 	 (0.80, 1.23)",0.8024815322139389,1.2258721824351257,M1
heavydrinker,Conditional,0.009060417122139843,0.02174652290299564,-0.04525583821196382,929,0.03171298173734947,0.3142706326669998,13.356037295842146,91.12444784154339,79.6994820253334,-0.3989861362210672,0.3084744597971395,0.17808139076655222,"0.96 	 (0.67, 1.36)",0.6710000038846794,1.3613467400316817,M1
hh_size,Conditional,1.2480638045927984e-4,0.01107256779814393,0.16267087525020846,929,0.011209854816649137,0.012246993449130666,739.6119722969314,60004.46091441819,901.8907635552124,-0.04484763706210812,0.370189387562525,0.1058766018374652,"1.18 	 (0.96, 1.45)",0.9561431515150978,1.4480088235582362,M1
hh_wealthquintileHigh,Conditional,1.769280317224023e-4,0.022728421277231188,-0.1790731036116203,929,0.02292304211212583,0.008490183542946598,1446.6555311680756,124855.6935357935,912.4191306482228,-0.47582153179534625,0.11767532457210558,0.1514035736438405,"0.84 	 (0.62, 1.12)",0.6213743679202445,1.1248788315558969,M1
hh_wealthquintileHighest,Conditional,4.1535533588085965e-4,0.023503127531664288,-0.06787759153550561,929,0.023960018401133234,0.019068886418189733,339.7546289106112,24750.94844688944,877.1053299908399,-0.37127572379310925,0.23552054072209805,0.15479024000605862,"0.93 	 (0.69, 1.27)",0.6898537062532156,1.2655673766580071,M1
hh_wealthquintileLow,Conditional,4.931668585220216e-4,0.0211675926279184,-0.1834392162913653,929,0.021710076172292623,0.024987638922546282,216.26456105720476,14414.250529469407,850.511575105254,-0.47225121617449295,0.10537278359176236,0.1473433954145642,"0.83 	 (0.62, 1.11)",0.6235968356271692,1.1111247422324306,M1
hh_wealthquintileMedium,Conditional,3.285926629430763e-4,0.020693238148617846,-0.28833323983405923,929,0.02105469007785523,0.017167288043700515,407.03448304169154,30537.896672506773,884.697472937318,-0.5727398794944389,-0.0039266001736796285,0.14510234346093528,"0.75 	 (0.56, 1.00)",0.563978087891824,0.9960810988405023,M1
htn,Conditional,2.2034801433293904e-4,0.01933589020878091,0.20549129207024705,929,0.019578273024547142,0.01238019387421631,725.3462945160841,58720.212401929515,901.47467230104,-0.068757190479281,0.47973977461977513,0.13992238214291217,"1.23 	 (0.93, 1.62)",0.933553328197113,1.615653913330421,M1
iadl_some4,Conditional,2.534928884979945e-4,0.0024033731045666573,0.1787133800368509,929,0.0026822152819144514,0.10395965574723304,31.200433644310646,832.7465536577969,415.8447603068228,0.07705888656414092,0.28036787350956083,0.05179010795426527,"1.20 	 (1.08, 1.32)",1.0801056782322351,1.3236166462862724,M1
laborforceFormal,Conditional,3.975028361815191e-4,0.17338379331020257,-0.5385437277796674,929,0.17382104643000224,0.0025155361147578465,14873.966505930923,1422267.8596103273,924.0737414528406,-1.3556896930248152,0.2786022374654804,0.41691851293748305,"0.58 	 (0.26, 1.32)",0.2577694513376996,1.3212816829813292,M1
