iv,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
Contrast 1,3.115630946603017e-4,0.022264699156842697,-0.03632941090010539,928,0.02260741856096903,0.015159599190949901,505.7749749682806,39162.19913501436,891.2148731813314,-0.33103406960284565,0.2583752478026348,0.15035763552599857,"0.96 	 (0.72, 1.29)",0.7181807004925186,1.2948246075617067,M2
Contrast 2,8.250909901948065e-4,0.021542053261011787,-0.017677438387386092,928,0.022449653350226074,0.04042824515172959,102.42562514592966,5506.463037680116,765.1056803167645,-0.31140749043543825,0.276052613660666,0.1498320838479732,"0.98 	 (0.73, 1.32)",0.7324153627977442,1.317917202651694,M2
Contrast 3,6.242901464124454e-4,0.04322608141904372,0.0186519725127193,928,0.043912800580097416,0.015638245613624823,478.89797029296255,36801.57873828429,889.4937708638923,-0.39207946247618464,0.4293834075016232,0.20955381308889948,"1.02 	 (0.68, 1.54)",0.6756504229718003,1.5363099542532688,M2
Contrast 1,1.0723047423330046e-4,0.02107491031011713,0.2235196168480182,928,0.02119286383177376,0.0055657188472936206,3203.717711598811,290536.01883465826,917.9431366818017,-0.06180860121423476,0.5088478349102711,0.1455776900207369,"1.25 	 (0.94, 1.66)",0.9400627964510783,1.6633736094664902,M3
Contrast 2,0.002462283353179766,0.020897594846681924,-0.22731853032776086,928,0.023606106535179666,0.1147377558625056,28.24559046590217,683.6436854938179,372.7696693706124,-0.5289869385515296,0.07434987789600775,0.15364278875098455,"0.80 	 (0.59, 1.08)",0.5892015648242623,1.077183622311827,M3
Contrast 3,0.0031674495944040396,0.041092733432884235,-0.450838147175779,928,0.04457692798672868,0.07816138776727163,42.74822009435758,1473.1873668375358,540.4616395554096,-0.864990482988653,-0.03668581136290516,0.2111324891785456,"0.64 	 (0.42, 0.96)",0.42105555979879333,0.9639789590100052,M3
Contrast 1,0.010289357055094891,0.023281350306077742,-0.05388681665015822,928,0.034599643066682124,0.327121662463142,13.08333994805456,84.10540376632471,74.10290355865477,-0.42378091616151714,0.3160072828612007,0.18600979293220593,"0.95 	 (0.65, 1.37)",0.6545672713114788,1.371640245055189,M4
Contrast 2,0.004214238672593463,0.019668767222708217,-8.453068098494374e-4,928,0.024304429762561027,0.1907332360866029,18.257481433614732,247.3943373659435,185.99270131783865,-0.30790343545654625,0.30621282183684734,0.15589878050376477,"1.00 	 (0.73, 1.36)",0.7349862881977762,1.3582713455925974,M4
Contrast 3,0.025286836931026756,0.04187934066797197,0.05304150984030878,928,0.0696948612921014,0.3991043257486445,11.91411662408222,56.50275702084352,51.294119534778936,-0.4757058972333962,0.5817889169140136,0.26399784334744364,"1.05 	 (0.62, 1.79)",0.6214462244275537,1.7892363646741218,M4
Contrast 1,5.666438942415746e-4,0.025999963324813552,-0.016991494766698634,928,0.026623271608479285,0.023412159588501274,240.67967283570766,16419.486003442922,857.1195510233977,-0.33681532318454566,0.3028323336511483,0.1631663923989229,"0.98 	 (0.71, 1.35)",0.7140406944886658,1.353687477576939,M5
Contrast 2,5.835149896874786e-4,0.016005355916198023,-0.025398548477210913,928,0.01664722240485425,0.038556972030905363,109.84494621113329,6053.919874264722,776.1588543978984,-0.27833173712715414,0.22753464017273228,0.12902411559415647,"0.97 	 (0.76, 1.26)",0.7570456397078323,1.255500929769946,M5
Contrast 3,5.946446331923311e-4,0.03963276217901614,-0.00840705371051228,928,0.0402868712755277,0.01623628432295023,448.47100159164813,34140.44783565807,887.2957763327844,-0.4018169301548525,0.3850028227338279,0.20071589691782687,"0.99 	 (0.67, 1.47)",0.6691032271028514,1.4696184697770582,M5
