variable,estimate,lci,uci,type,group,est_ci,gender
age,77.4,75.7,79.1,Continuous,NA,"77.4 (75.7, 79.1)",Total
hh_size,1.6,1.5,1.7,Continuous,NA,"1.6 (1.5, 1.7)",Total
children,2.5,2.2,2.8,Continuous,NA,"2.5 (2.2, 2.8)",Total
lengthmar,48.6,42.6,54.7,Continuous,NA,"48.6 (42.6, 54.7)",Total
bmi,29.6,28.5,30.7,Continuous,NA,"29.6 (28.5, 30.7)",Total
height,16296.5,16059,16534,Continuous,NA,"16296.5 (16059, 16534)",Total
weight,78.5,74.9,82.1,Continuous,NA,"78.5 (74.9, 82.1)",Total
adl_some6,0.9,0.6,1.2,Continuous,NA,"0.9 (0.6, 1.2)",Total
iadl_some4,0.6,0.4,0.8,Continuous,NA,"0.6 (0.4, 0.8)",Total
hba1c,7.1,6.9,7.3,Continuous,NA,"7.1 (6.9, 7.3)",Total
sbp,136.9,132.6,141.2,Continuous,NA,"136.9 (132.6, 141.2)",Total
dbp,66.5,64.4,68.6,Continuous,NA,"66.5 (64.4, 68.6)",Total
hdl,50.1,47.3,52.9,Continuous,NA,"50.1 (47.3, 52.9)",Total
trig,179.2,159.3,199.1,Continuous,NA,"179.2 (159.3, 199.1)",Total
ldl,90.2,83.7,96.8,Continuous,NA,"90.2 (83.7, 96.8)",Total
chol,174.7,167.2,182.1,Continuous,NA,"174.7 (167.2, 182.1)",Total
nfalls,1,0.5,1.6,Continuous,NA,"1 (0.5, 1.6)",Total
fu_nfalls,0,0,0,Continuous,NA,"0 (0, 0)",Total
moderate_pa,0.3,0.2,0.3,Continuous,NA,"0.3 (0.2, 0.3)",Total
vigorous_pa,0,0,0.1,Continuous,NA,"0 (0, 0.1)",Total
polypharmacy,2.2,2,2.5,Continuous,NA,"2.2 (2, 2.5)",Total
medication_bp,51.8,40.8,62.7,Proportion,NA,"51.8 (40.8, 62.7)",Total
medication_dm,79,68.9,86.5,Proportion,NA,"79 (68.9, 86.5)",Total
rxdiabi,19.6,13.3,28,Proportion,NA,"19.6 (13.3, 28)",Total
rxdiabo,74.5,64.1,82.7,Proportion,NA,"74.5 (64.1, 82.7)",Total
rxlung,6,2.7,12.7,Proportion,NA,"6 (2.7, 12.7)",Total
rxasthma,12.5,7.6,19.9,Proportion,NA,"12.5 (7.6, 19.9)",Total
rxcancr,2.3,0.8,6.4,Proportion,NA,"2.3 (0.8, 6.4)",Total
rxbldthn,17.2,11.6,24.8,Proportion,NA,"17.2 (11.6, 24.8)",Total
rxhchol,39,28.3,51,Proportion,NA,"39 (28.3, 51)",Total
married,57.9,47.3,67.8,Proportion,NA,"57.9 (47.3, 67.8)",Total
diagnosed_bp,65.7,53.4,76.2,Proportion,NA,"65.7 (53.4, 76.2)",Total
htn,73.7,60.5,83.6,Proportion,NA,"73.7 (60.5, 83.6)",Total
alzh_demen,3.1,1.2,7.7,Proportion,NA,"3.1 (1.2, 7.7)",Total
bmi_underweight,1.2,0.2,6.1,Proportion,NA,"1.2 (0.2, 6.1)",Total
bmi_overweight,36.4,24.7,49.9,Proportion,NA,"36.4 (24.7, 49.9)",Total
bmi_obese,38,28.1,48.9,Proportion,NA,"38 (28.1, 48.9)",Total
fall_any,37.1,27.6,47.8,Proportion,NA,"37.1 (27.6, 47.8)",Total
fall_injury,43.6,28,60.6,Proportion,NA,"43.6 (28, 60.6)",Total
fracture_hip,1.5,0.2,8.1,Proportion,NA,"1.5 (0.2, 8.1)",Total
heavydrinker,12.6,7.5,20.4,Proportion,NA,"12.6 (7.5, 20.4)",Total
vision_impairment,13.6,8.4,21.3,Proportion,NA,"13.6 (8.4, 21.3)",Total
balance_impairment,68.3,56,78.4,Proportion,NA,"68.3 (56, 78.4)",Total
age_category,39.5,29.9,50.1,Grouped,65_74,"39.5 (29.9, 50.1)",Total
age_category,37.5,27.4,48.8,Grouped,75_84,"37.5 (27.4, 48.8)",Total
age_category,23,13.3,36.7,Grouped,85_over,"23 (13.3, 36.7)",Total
bmi_category,1.2,0.2,6.3,Grouped,Underweight,"1.2 (0.2, 6.3)",Total
bmi_category,24.5,16.7,34.5,Grouped,Normal,"24.5 (16.7, 34.5)",Total
bmi_category,36.4,24.5,50.2,Grouped,Overweight,"36.4 (24.5, 50.2)",Total
bmi_category,38,27.9,49.2,Grouped,Obese,"38 (27.9, 49.2)",Total
education_h,63.7,52.6,73.5,Grouped,Less than lower secondary,"63.7 (52.6, 73.5)",Total
education_h,6.3,3.2,11.8,Grouped,Tertiary,"6.3 (3.2, 11.8)",Total
education_h,30.1,21.2,40.7,Grouped,Upper secondary and vocational training,"30.1 (21.2, 40.7)",Total
hh_wealthquintile,19.6,13.3,27.9,Grouped,Lowest,"19.6 (13.3, 27.9)",Total
hh_wealthquintile,27,17.4,39.5,Grouped,Low,"27 (17.4, 39.5)",Total
hh_wealthquintile,27,18.2,38.1,Grouped,Medium,"27 (18.2, 38.1)",Total
hh_wealthquintile,16.1,9.6,25.6,Grouped,High,"16.1 (9.6, 25.6)",Total
hh_wealthquintile,10.3,5.7,17.9,Grouped,Highest,"10.3 (5.7, 17.9)",Total
smoke,30.3,20.9,41.6,Grouped,Never,"30.3 (20.9, 41.6)",Total
smoke,56.6,44.8,67.7,Grouped,Former,"56.6 (44.8, 67.7)",Total
smoke,13.2,5.5,28.1,Grouped,Current,"13.2 (5.5, 28.1)",Total
laborforce,7,3.8,12.6,Grouped,None,"7 (3.8, 12.6)",Total
laborforce,3,1.2,7.5,Grouped,Formal,"3 (1.2, 7.5)",Total
laborforce,90,83.8,94,Grouped,Retired,"90 (83.8, 94)",Total
race,0.3,0,2.5,Grouped,Non-White,"0.3 (0, 2.5)",Total
race,99.7,97.5,100,Grouped,White,"99.7 (97.5, 100)",Total
age,77.8,75.3,80.3,Continuous,NA,"77.8 (75.3, 80.3)",Female
hh_size,1.5,1.3,1.6,Continuous,NA,"1.5 (1.3, 1.6)",Female
children,2.2,1.8,2.6,Continuous,NA,"2.2 (1.8, 2.6)",Female
lengthmar,51.4,47.5,55.4,Continuous,NA,"51.4 (47.5, 55.4)",Female
bmi,29.5,27.8,31.3,Continuous,NA,"29.5 (27.8, 31.3)",Female
height,15634.5,15414.7,15854.4,Continuous,NA,"15634.5 (15414.7, 15854.4)",Female
weight,73.1,68.2,78,Continuous,NA,"73.1 (68.2, 78)",Female
adl_some6,0.9,0.6,1.2,Continuous,NA,"0.9 (0.6, 1.2)",Female
iadl_some4,0.7,0.4,0.9,Continuous,NA,"0.7 (0.4, 0.9)",Female
hba1c,7,6.6,7.3,Continuous,NA,"7 (6.6, 7.3)",Female
sbp,138.3,132,144.7,Continuous,NA,"138.3 (132, 144.7)",Female
dbp,68,65.5,70.5,Continuous,NA,"68 (65.5, 70.5)",Female
hdl,54.7,49.5,59.8,Continuous,NA,"54.7 (49.5, 59.8)",Female
trig,176.8,146.5,207.1,Continuous,NA,"176.8 (146.5, 207.1)",Female
ldl,96,85.3,106.7,Continuous,NA,"96 (85.3, 106.7)",Female
chol,186,175.5,196.5,Continuous,NA,"186 (175.5, 196.5)",Female
nfalls,1.4,0.4,2.4,Continuous,NA,"1.4 (0.4, 2.4)",Female
fu_nfalls,0,0,0,Continuous,NA,"0 (0, 0)",Female
moderate_pa,0.2,0.1,0.4,Continuous,NA,"0.2 (0.1, 0.4)",Female
vigorous_pa,0,-0,0.1,Continuous,NA,"0 (0, 0.1)",Female
polypharmacy,2.2,1.9,2.5,Continuous,NA,"2.2 (1.9, 2.5)",Female
age,77,74.7,79.3,Continuous,NA,"77 (74.7, 79.3)",Male
hh_size,1.7,1.6,1.9,Continuous,NA,"1.7 (1.6, 1.9)",Male
children,2.8,2.3,3.3,Continuous,NA,"2.8 (2.3, 3.3)",Male
lengthmar,47.1,38.5,55.7,Continuous,NA,"47.1 (38.5, 55.7)",Male
bmi,29.6,28.2,31,Continuous,NA,"29.6 (28.2, 31)",Male
height,16975.7,16792.4,17159,Continuous,NA,"16975.7 (16792.4, 17159)",Male
weight,84.6,80.4,88.8,Continuous,NA,"84.6 (80.4, 88.8)",Male
adl_some6,0.9,0.3,1.5,Continuous,NA,"0.9 (0.3, 1.5)",Male
iadl_some4,0.5,0.1,0.9,Continuous,NA,"0.5 (0.1, 0.9)",Male
hba1c,7.3,6.9,7.6,Continuous,NA,"7.3 (6.9, 7.6)",Male
