iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,OR,lci,uci,model
(Intercept),Conditional,0,8.437069620308172e-4,-0.889040462459342,4507,8.437069620308172e-4,0,Inf,Inf,4504.528284825429,-0.9459708194876826,-0.8321101054310014,0.02904663426338441,"0.41 	 (0.39, 0.44)",0.3883024163039962,0.4351301464363586,M0
control_joint,Conditional,0,0.0017468366335946003,-0.001698050924899741,4507,0.0017468366335946003,0,Inf,Inf,4504.528284825429,-0.08361508819086541,0.0802189863410659,0.04179517476449405,"1.00 	 (0.92, 1.08)",0.9197852241621575,1.083524318722654,M0
(Intercept),Conditional,0.014496511465696504,0.09587014440985508,-3.0833748561422554,4481,0.11181630702212124,0.142610349393058,23.074900971145652,442.5276603807422,396.80248538525,-3.7405635439507083,-2.4261861683338024,0.33438945411319604,"0.05 	 (0.02, 0.09)",0.02374072042140763,0.08837323131859133,M1
age,Conditional,1.2202844482890778e-6,9.556771019038753e-6,0.018893464502780524,4481,1.0899083912156739e-5,0.12315832265689616,26.37735553521739,593.3555085099862,515.4763349505148,0.012409660710686644,0.025377268294874404,0.00330137606342518,"1.02 	 (1.01, 1.03)",1.012486980054745,1.025702012388086,M1
balance_impairment,Conditional,5.820811242892703e-4,0.001600728049077758,-0.047303026251178555,4481,0.002241017285795955,0.2857136536949032,14.06251742007816,110.25048776257691,106.57772052193413,-0.14111620383905207,0.04651015133669493,0.047339384087627875,"0.95 	 (0.87, 1.05)",0.8683883957689956,1.047608713643333,M1
bmi,Conditional,3.5032974855255294e-6,1.044416678532452e-5,0.008303820141320396,4481,1.4297794019402602e-5,0.26952600022413087,14.53946589845808,123.89140457505461,119.37123318182667,8.196176214875506e-4,0.015788022661153242,0.0037812423909877294,"1.01 	 (1.00, 1.02)",1.0008199535997953,1.015913311979386,M1
control_joint,Conditional,1.1602526197721013e-5,0.0016410460910188166,-0.018987713786075888,4481,0.0016538088698363096,0.0077172030276729305,1728.413093508609,151120.24792406044,4317.459783607977,-0.09869430346686811,0.060718875894716334,0.04066704894427809,"0.98 	 (0.91, 1.06)",0.9060196327546093,1.0626001496778577,M1
fall_any,Conditional,6.527371738505873e-6,0.002178412631897337,0.7223743614910674,4481,0.0021855927408096936,0.003285199835398637,8839.505749423743,833909.5062351923,4440.514880780881,0.6307452783090927,0.8140034446730421,0.04675032343000093,"2.06 	 (1.88, 2.26)",1.8790104432813406,2.256925400245447,M1
female,Conditional,2.6908023594263923e-5,0.001985800482407975,0.026180843434632877,4481,0.0020153993083616654,0.014686333289332845,534.8652779763828,41726.86433600583,3991.1040768943994,-0.06181076193715562,0.11417244880642137,0.044893198909875705,"1.03 	 (0.94, 1.12)",0.9400607652380414,1.120945413916136,M1
heavydrinker,Conditional,3.463257236260393e-5,0.0069307577842795745,-0.021359409380790666,4481,0.006968853613878439,0.005466584851631359,3315.32628276568,301169.0384189431,4389.591144107924,-0.18497719375111146,0.14225837498953012,0.08347965988118566,"0.98 	 (0.83, 1.15)",0.8311232384394163,1.1528744839914626,M1
hh_size,Conditional,9.501501618068311e-7,2.3734449972198147e-4,0.023083940143917358,4481,2.38389664899969e-4,0.004384272189090402,5058.965993055952,468217.33868922346,4417.29328858723,-0.007177732242126835,0.05334561252996155,0.0154398725674783,"1.02 	 (0.99, 1.05)",0.9928479661557771,1.0547941321986947,M1
hh_wealthquintileHigh,Conditional,9.235336251468487e-4,0.0038223588944145,0.0823541043834994,4481,0.0048382458820760334,0.20997010330232094,17.046781649899675,204.13975332024566,193.0052223543083,-0.05478913876328302,0.21949734753028177,0.06955750054506007,"1.09 	 (0.95, 1.25)",0.9466847460253242,1.2454505444314858,M1
hh_wealthquintileHighest,Conditional,9.029136781820809e-4,0.005112176698428221,-0.05648292408687984,4481,0.00610538174442851,0.16267697706316925,20.649257475730728,340.08722804431625,311.8118324961527,-0.21017547124748087,0.09720962307372115,0.07813694225159128,"0.95 	 (0.81, 1.10)",0.8104420242196373,1.1020913731899145,M1
