iv,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
Contrast 1,3.163411226892157e-6,0.0038741687141695662,-0.07279394833349431,4480,0.0038776484665191476,8.973872643759906e-4,113571.58182964858,11175905.114448404,4472.1925111045675,-0.19484242284971043,0.0492545261827218,0.062270767351295324,"0.93 	 (0.82, 1.05)",0.8229643282128529,1.050487693338321,M2
Contrast 2,2.6460609698735913e-5,0.0023370138159664127,0.03743816449780297,4480,0.0023661204866350224,0.012301432168403036,733.7274727691754,59474.54894437647,4116.765933503094,-0.057901881546425914,0.13277821054203182,0.048642784527975186,"1.04 	 (0.94, 1.14)",0.9437425414528728,1.141996687414784,M2
Contrast 3,2.6661391776048168e-5,0.005915324793199595,0.11023211283129727,4480,0.005944652324153248,0.0049334308138584675,4033.470465732309,369780.857583993,4402.854436185456,-0.04088468504883644,0.26134891071143096,0.07710157147654804,"1.12 	 (0.96, 1.30)",0.9599398189789716,1.2986807100034914,M2
Contrast 1,1.1789514467374003e-5,0.0037019762015369434,-0.09731230835594332,4480,0.003714944667451055,0.003490890733241928,7856.686521013108,738533.1580631677,4435.568508483572,-0.21677298698061503,0.022148370268728373,0.060950345917402754,"0.91 	 (0.81, 1.02)",0.8051127196302936,1.0223954663077053,M3
Contrast 2,4.451654728779727e-5,0.002772322545908293,0.043948256783554886,4480,0.00282129074792487,0.01735666628921331,399.377250120125,29875.135410149916,3835.370379845031,-0.06016106295176953,0.1480575765188793,0.05311582389387244,"1.04 	 (0.94, 1.16)",0.9416128624232281,1.1595796590011038,M3
Contrast 3,7.176154993822196e-5,0.006263015738055812,0.1412605651394982,4480,0.0063419534429878565,0.01244690703608423,718.3672153131689,58092.4399412517,4109.434957155103,-0.014827128840289805,0.2973482591192862,0.07963638265885672,"1.15 	 (0.99, 1.35)",0.9852822517671127,1.3462840735216903,M3
Contrast 1,1.520695644550152e-4,0.0034434675601937633,-0.017667663887622906,4480,0.00361074408109428,0.046327437542962493,84.19244560324834,4193.396718270829,2115.8101228105184,-0.13547485887174965,0.10013953109650384,0.06008946730579561,"0.98 	 (0.87, 1.11)",0.8733011184279046,1.105325134544417,M4
Contrast 2,1.7153989005049396e-4,0.0031128528333049703,-0.0209059402563465,4480,0.0033015467123605137,0.057153175615871424,63.18743026539135,2755.254859358226,1667.2404398625708,-0.13357317550972933,0.09176129499703634,0.05745908729139816,"0.98 	 (0.87, 1.10)",0.8749634407392252,1.0961031455457044,M4
Contrast 3,5.898375001804527e-4,0.006504505222417578,-0.003238276368723598,4480,0.007153326472616076,0.09070203249946378,36.09045729514699,1093.9777050637847,862.303290070915,-0.16919042113038524,0.162713868392938,0.08457734018409467,"1.00 	 (0.84, 1.18)",0.8443481063560931,1.1766999504670403,M4
Contrast 1,1.3458279433647957e-5,0.005444912851159414,0.03933861057315872,4480,0.005459716958536427,0.0027115155399889544,12845.781769467927,1224103.9910495144,4449.625741878816,-0.1054830706236615,0.18416029176997892,0.07388989754043801,"1.04 	 (0.90, 1.20)",0.899889707289346,1.2022085117829209,M5
Contrast 2,2.2800580716631214e-5,0.0019908395891254137,-0.0552460874072018,4480,0.002015920227913708,0.012441285345030986,718.9511348507125,58144.950839307894,4109.719246898003,-0.14324834282016902,0.03275616800576543,0.04489900029971389,"0.95 	 (0.87, 1.03)",0.8665388434715771,1.0332985572740614,M5
Contrast 3,3.3275409586170816e-5,0.007152501087375805,-0.09458469798036051,4480,0.007189104037920593,0.0050914481626246014,3797.311825349688,347184.12314879784,4398.755286435992,-0.26076784898093497,0.07159845302021389,0.08478858436087132,"0.91 	 (0.77, 1.07)",0.7704597618739373,1.0742239060832,M5
Contrast 1,1.6619073054715883e-5,0.002123125711752574,-0.007734336891674576,4480,0.0021414066921127614,0.008536902601229397,1431.9829985474576,123492.86219729015,4285.69523033306,-0.09843321714085664,0.08296454335750747,0.046275335678012765,"0.99 	 (0.91, 1.09)",0.9062562129744058,1.0865032841067568,M6
Contrast 2,5.071283650717431e-5,0.006344590329054372,-0.06241518973378802,4480,0.006400374449212264,0.008715758835759597,1377.9249017037782,118476.46831115244,4278.662975775508,-0.21921849726282652,0.0943881177952505,0.08000234027334616,"0.94 	 (0.80, 1.10)",0.803146213731357,1.0989861992554215,M6
Contrast 3,7.265814781805681e-5,0.00821364129419155,-0.054680852842113443,4480,0.008293565256791412,0.009636864258638897,1144.4999021438878,96910.54278541557,4240.779697086366,-0.23317506911101202,0.12381336342678512,0.0910690137027486,"0.95 	 (0.79, 1.13)",0.7920149040411378,1.131804615150834,M6
Contrast 1,2.088181156013772e-5,0.005727767857034865,-0.16388413697538876,4480,0.005750737849751017,0.003994268790594584,6054.024853401132,564115.37358222,4425.1282169460665,-0.3125156189584622,-0.015252654992315318,0.07583361952162786,"0.85 	 (0.73, 0.98)",0.731604201961762,0.984863077592971,A3
Contrast 2,4.391755095513512e-5,0.004610952212080005,-0.0018866938583904397,4480,0.0046592615181306534,0.010368446987287987,1000.7060194358443,83717.27554266667,4208.7797895426065,-0.1356733853058064,0.13189999758902549,0.06825878345041503,"1.00 	 (0.87, 1.14)",0.8731277622794638,1.1409942113897518,A3
Contrast 3,7.112059378005815e-5,0.009614231192646722,0.16199744311699832,4480,0.009692463845804786,0.008071492904451288,1589.445092690813,138144.8727811696,4303.484591632534,-0.03096331243995143,0.35495819867394807,0.09845031155768266,"1.18 	 (0.97, 1.43)",0.9695111414217827,1.426121039284943,A3
Contrast 1,1.486469910764495e-5,0.004146580107543975,-0.11526611307740388,4480,0.004162931276562384,0.003927801813704626,6253.424832671105,583369.0397631738,4426.567308161142,-0.24172478391994828,0.011192557765140485,0.0645207817417178,"0.89 	 (0.79, 1.01)",0.7852722673699681,1.011255428783362,B3
Contrast 2,2.7879427407359574e-5,0.0032150117345548282,-0.06168947522601287,4480,0.003245679104702924,0.009448675965427122,1186.835592161432,100809.29985993696,4248.742090578564,-0.1733516533715731,0.04997270291954736,0.056970861891873496,"0.94 	 (0.84, 1.05)",0.8408418779678886,1.0512424001359923,B3
Contrast 3,2.40708020320178e-5,0.006740512702292818,0.05357663785139101,4480,0.006766990584528038,0.003912800218129205,6299.824385939369,587850.8647417363,4426.889573858971,-0.10765370270805132,0.2148069784108333,0.08226172004357821,"1.06 	 (0.90, 1.24)",0.8979384962650355,1.2396225999478505,B3
Contrast 1,1.1891143244574614e-5,0.005942442454233631,0.14222193794226484,4480,0.005955522711802663,0.0021963240175559406,19402.224453989456,1865733.8367505493,4457.491141543715,-0.009032565912851703,0.2934764417973814,0.07717203322319986,"1.15 	 (0.99, 1.34)",0.9910081051637887,1.341081585566309,C3
Contrast 2,2.89419621343624e-5,0.003380747276419038,0.012694018356932074,4480,0.003412583434766837,0.009329049078612149,1215.0535582416665,103411.24190581431,4253.744974149794,-0.1018031676986802,0.12719120441254433,0.05841732135905272,"1.01 	 (0.90, 1.14)",0.903207314547856,1.1356341352816148,C3
Contrast 3,2.880886269776095e-5,0.009346573495592852,-0.12952791958533277,4480,0.009378263244560389,0.003379063707335987,8368.954479520398,788224.1733958375,4437.743693602576,-0.319333932937404,0.0602780937667384,0.09684143351149026,"0.88 	 (0.73, 1.06)",0.7266328621419053,1.062131877733227,C3
