iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,OR,lci,uci,model
(Intercept),Conditional,6.549355741650265e-7,8.19648989311093e-4,-0.8645770661834158,4507,8.203694184426745e-4,8.781764841370316e-4,118554.18395693718,11670216.225520872,4499.309820977026,-0.920714540230581,-0.8084395921362506,0.028642091726036257,"0.42 	 (0.40, 0.45)",0.398234384908263,0.44555276811591693,M0
control_joint,Conditional,1.1278969405917778e-6,0.0017123004638392148,-6.757193148495419e-4,4507,0.0017135411504738659,7.240483453273672e-4,173919.8371846835,17167512.752831027,4500.559335471512,-0.08180831877576102,0.08045688014606192,0.041394941121758656,"1.00 	 (0.92, 1.08)",0.9214485661588752,1.0837821131082686,M0
(Intercept),Conditional,0.027561324666042032,0.0931388766356736,-2.9207197253481816,4481,0.12345633376831984,0.24557231052673628,15.379229710408953,149.23947638092824,142.927008121267,-3.615009579586804,-2.2264298711095596,0.35136353505780854,"0.05 	 (0.03, 0.11)",0.02691666736544156,0.10791300657601793,M1
age,Conditional,1.622752291757068e-6,9.321966704339837e-6,0.017792424306785026,4481,1.1106994225272613e-5,0.16071202385890884,20.854684390597807,348.4542525031988,318.89451177601575,0.01123765472850646,0.02434719388506359,0.003332715743244931,"1.02 	 (1.01, 1.02)",1.0113010343607163,1.0246460069684864,M1
balance_impairment,Conditional,5.532023119707667e-4,0.0015422221407667182,-0.03044122171594844,4481,0.0021507446839345618,0.28293574207730476,14.139942016562772,112.42603189942209,108.6236815300622,-0.12232576032501115,0.06144331689311425,0.04637612191564277,"0.97 	 (0.88, 1.06)",0.8848600692432004,1.0633702196926547,M1
bmi,Conditional,8.732338689057413e-6,1.026631054774475e-5,0.005852286275531228,4481,1.9871883105707905e-5,0.4833750534293399,11.026623998740105,38.518914808575346,37.88821653747922,-0.003168045130020178,0.014872617681082632,0.004457789037819971,"1.01 	 (1.00, 1.01)",0.9968369678297945,1.0149837653949771,M1
control_joint,Conditional,2.251758090797591e-5,0.0015972769448628751,-0.02142861543164729,4481,0.0016220462838616486,0.015270426772166132,499.335508488118,38595.81001811789,3958.267044828763,-0.10036792650508704,0.05751069564179247,0.040274635738410454,"0.98 	 (0.90, 1.06)",0.9045045656034406,1.0591965993815629,M1
fall_any,Conditional,1.2255476787617487e-5,0.002185068835112924,0.7286590226407497,4481,0.0021985498595793033,0.006131780185762472,2665.1853215050105,239369.7983876776,4370.2637130708945,0.6367584015242993,0.8205596437572,0.046888696501175026,"2.07 	 (1.89, 2.27)",1.890343203092865,2.271770864220106,M1
female,Conditional,1.5271105942615452e-5,0.0019224073582343657,0.025338254521215853,4481,0.0019392055747712426,0.0086624217439446,1393.7041696207464,119939.94931381043,4281.693151718639,-0.060972397847094684,0.11164890688952636,0.04403641191981066,"1.03 	 (0.94, 1.12)",0.9408492088813308,1.1181202274151407,M1
heavydrinker,Conditional,3.0312537970952972e-5,0.006927018881499024,-0.03340404615390041,4481,0.006960362673267073,0.004790525053545418,4267.1747693635225,392171.7244532177,4407.44815715671,-0.19692197064706876,0.1301138783392679,0.08342878803666677,"0.97 	 (0.82, 1.14)",0.8212547127864159,1.1389580785942268,M1
hh_size,Conditional,8.069132174098017e-7,2.292225277945869e-4,0.02171853028584004,4481,2.301101323337377e-4,0.003857303153706654,6476.152488650992,604887.9942440363,4429.055243492809,-0.008012970435618164,0.05145003100729824,0.015169381409066676,"1.02 	 (0.99, 1.05)",0.9920190478344235,1.0527965777932353,M1
hh_wealthquintileHigh,Conditional,6.994707047166695e-4,0.003757846410429321,0.07931580885831753,4481,0.004527264185617658,0.16995203806145107,19.938045847607953,311.5944800286342,287.4986861220582,-0.05307448945631969,0.21170610717295474,0.06728494768978911,"1.08 	 (0.95, 1.24)",0.9483093708018467,1.2357846434615791,M1
hh_wealthquintileHighest,Conditional,8.894249115485653e-4,0.004950557624857132,-0.04059141736040602,4481,0.0059289250275605535,0.16501598488014102,20.41237544482247,330.5144700924028,303.6769176058229,-0.19206234978557707,0.11087951506476501,0.07699951316443861,"0.96 	 (0.83, 1.12)",0.8252554123895518,1.1172602857115468,M1
hh_wealthquintileLow,Conditional,4.979992046137937e-4,0.002774037229178882,-0.0244660717178375,4481,0.0033218363542540552,0.16490852247240992,20.423081818836465,330.94536902718244,304.0438224491816,-0.1378439585698084,0.08891181513413339,0.057635374157318134,"0.98 	 (0.87, 1.09)",0.8712346298372077,1.0929842674053551,M1
hh_wealthquintileMedium,Conditional,4.495846226251408e-4,0.004223325655600718,-0.20882720605271346,4481,0.004717868740488373,0.10482340906255522,30.93535619005721,819.0792991933812,680.1375415934502,-0.3436499739864078,-0.07400443811901913,0.06868674355716956,"0.81 	 (0.71, 0.93)",0.7091771150495353,0.9286675722949261,M1
htn,Conditional,1.36493950554752e-5,0.00356425984236959,-0.060180549504267544,4481,0.003579274176930613,0.0041947986711367785,5508.183734059115,511470.11829965893,4421.654331538022,-0.17743966187649934,0.05707856286796424,0.05982703550177472,"0.94 	 (0.84, 1.06)",0.8374115256514626,1.058738984699315,M1
iadl_some4,Conditional,2.7730698250901314e-6,4.052676841943893e-4,0.08575941867203708,4481,4.0831806100198847e-4,0.007470589961447455,1836.7628236169705,161262.24800216008,4326.277417792828,0.046154361382996965,0.1253644759610772,0.020206881525905687,"1.09 	 (1.05, 1.13)",1.0472360512863046,1.1335615337127107,M1
laborforceother,Conditional,2.9774741015455163e-5,0.015643329460172967,0.09239552176147184,4481,0.015676081675289968,0.002089311334006867,21400.173926925643,2061750.8819524494,4459.974588087927,-0.15300026656727836,0.337791310090222,0.1252041599759767,"1.10 	 (0.86, 1.40)",0.8581294930621198,1.401847921360691,M1
laborforceretired,Conditional,1.6094290795594373e-5,0.01090186646370452,0.10578851374134662,4481,0.010919570183579674,0.0016212835832838748,35245.771634784534,3423927.334284664,4465.907014139679,-0.09902141974982431,0.31059844723251756,0.10449674723923072,"1.11 	 (0.91, 1.36)",0.9057233074491159,1.3642412963151005,M1
moderate_pa,Conditional,1.351508463387471e-6,9.364234481958781e-5,2.0474194430394606e-4,4481,9.512900412931403e-5,0.01562782374663905,479.45806138547937,36850.679502723804,3937.858685130778,-0.01891221802942692,0.019321701918034808,0.00975340987190193,"1.00 	 (0.98, 1.02)",0.9812654958811443,1.0195095740528868,M1
polypharmacy,Conditional,1.3193181599669378e-6,1.291197884226409e-4,0.04758801824618339,4481,1.3057103839860453e-4,0.011114639155532225,881.5809901105581,72853.72704143448,4175.372686530039,0.025191591436766487,0.0699844450556003,0.011426768502013355,"1.05 	 (1.03, 1.07)",1.0255115809409743,1.0724914985788383,M1
raceethNH Black,Conditional,3.412657947831665e-5,0.006526025911936722,0.0061223562937813706,4481,0.0065635651493628705,0.005719336453877093,3041.923708416356,275138.40669475787,4382.450176734589,-0.15266645652106867,0.1649111691086314,0.08101583270795204,"1.01 	 (0.86, 1.18)",0.8584159931234918,1.1792883568224963,M1
