iv,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
Contrast 1,7.554905114978814e-6,0.0038170978479608753,-0.07412731776578033,4480,0.003825408243587352,0.0021724205881575296,19823.177439090487,1907017.5485875218,4457.828238022049,-0.19535094126312275,0.04709630573156211,0.06184988474999248,"0.93 	 (0.82, 1.05)",0.8225459420859158,1.0482229540972203,M2
Contrast 2,2.8597545564861463e-5,0.0023900573545179507,0.03570626994638426,4480,0.002421514654639298,0.012990753560412956,665.2968298277463,53330.27476152511,4081.5629089724675,-0.06074356717195424,0.13215610706472275,0.049208887963855655,"1.04 	 (0.94, 1.14)",0.9410645286759519,1.1412864682422816,M2
Contrast 3,2.5559766024611964e-5,0.005928976245430006,0.10983358771216459,4480,0.005957091988057079,0.0047197093285516285,4390.816504098605,404028.50272983493,4408.2388844099405,-0.04144119760392251,0.2611083730282517,0.07718219994310267,"1.12 	 (0.96, 1.30)",0.9594057490396798,1.2983683659210843,M2
Contrast 1,3.6641914363649487e-6,0.0036128016851749182,-0.08919832999767804,4480,0.0036168322957549196,0.0011144035029581484,73930.86751628501,7246988.502904876,4470.251893843649,-0.20707079059182193,0.02867413059646584,0.060140105551577804,"0.91 	 (0.81, 1.03)",0.8129620978824833,1.0290891911483548,M3
Contrast 2,6.0541118989454895e-5,0.0026894925062126806,0.03462635749612568,4480,0.002756087737101081,0.024162957511086654,228.48434699080767,15414.957404624167,3404.655132868317,-0.06827680262270139,0.13752951761495275,0.05249845461631305,"1.04 	 (0.93, 1.15)",0.9340019036159138,1.1474355750336898,M3
Contrast 3,6.606618036793082e-5,0.006097281268861478,0.12382468749380374,4480,0.006169954067266201,0.011778499096173005,793.5566873163432,64872.79409300261,4142.667708697921,-0.030131504086684052,0.2777808790742915,0.07854905516469439,"1.13 	 (0.97, 1.32)",0.9703179243856893,1.3201968827497612,M3
Contrast 1,1.4443650956521284e-4,0.003400651072883269,-0.016370047901830127,4480,0.003559531233405003,0.04463513595012098,88.75830203652409,4517.402477006021,2197.2545531776195,-0.13333638027272132,0.10059628446906106,0.05966180715839073,"0.98 	 (0.88, 1.11)",0.8751706524469528,1.1058301108434272,M4
Contrast 2,1.8572971162421193e-4,0.003021783843962871,-0.02568712475169945,4480,0.0032260865267495042,0.06332833328946129,55.312183307529246,2244.121637136655,1461.9438443248882,-0.13707050509393326,0.08569625559053434,0.056798648987009405,"0.97 	 (0.87, 1.09)",0.8719087499566263,1.089475355993545,M4
Contrast 3,5.710731528877932e-4,0.0064305325861241155,-0.009317076849869326,4480,0.007058713054300688,0.08899362579894628,36.85738037785532,1136.3829444219994,888.798932313126,-0.17416127302465656,0.15552711932491792,0.08401614758069242,"0.99 	 (0.84, 1.17)",0.8401613913631852,1.168273618429499,M4
Contrast 1,1.5464347405243143e-5,0.005424970233659731,0.03359964439845835,4480,0.005441981015805499,0.00312584371322905,9736.575667399884,921102.5591522161,4442.473933677155,-0.11098666517363832,0.17818595397055498,0.07376978389425781,"1.03 	 (0.89, 1.20)",0.8949506828614205,1.1950475244065448,M5
Contrast 2,5.655056374145149e-5,0.0019564146029370463,-0.054448906965371635,4480,0.002018620223052643,0.030815910494311146,154.6349642629761,9477.471811369984,2976.8309248216897,-0.14251948929623842,0.033621675365495166,0.04492905766931511,"0.95 	 (0.87, 1.03)",0.8671706535818071,1.0341932719153808,M5
Contrast 3,7.66300024057552e-5,0.007143385490953143,-0.08804855136382998,4480,0.007227678493599474,0.011662527977825389,807.8902905713135,66169.38713901381,4148.314203391398,-0.25467941607275707,0.07858231334509706,0.08501575438469904,"0.92 	 (0.78, 1.08)",0.7751649635601934,1.0817523941558074,M5
